,"Baboon 8B:1",,,,,"Baboon 9B:1",,,,,"Baboon 12B:1",,,,,"Baboon 11B:1",,,,,"Baboon 13B:1",,,,,"Baboon 5B:1",,,,,"Baboon 7B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"Analyte 4","Class1","120","2","25445.751","220.347","Class1","120","1.955","194721.368","1549.668","Class1","120","1.925","7849.137","32.720","Class1","120","2.005","211667.583","973.315","Class1","120","2.035","5963.233","63.180","Class1","120","1.995","188100.280","923.058","Class1","120","1.995","65478.984","492.091",
"Acetonitrile, ethoxy-","Class1","135","1.14","5765516.98","7920.140","Class1","135","1.15","4682045.65","10818.698","Class1","130","1.09","22488790.1","23751.156","Class1","135","1.15","9730881.10","14779.944","Class1","135","1.155","5927029.71","10025.601","Class1","135","1.15","12483966.6","19465.826","Class1","135","1.155","5778023.58","11877.264",
"Acetic acid","Class1","145","1.27","15257816.7","44613.738","Class1","145","1.24","6438791.52","21662.533","Class1","150","1.25","21008493.8","25175.898","Class1","145","1.225","10681983.0","21350.633","Class1","145","1.225","6933722.34","23002.307","Class1","140","1.225","7540927.08","13187.504","Class1","140","1.225","8253082.12","14970.505",
"1,3,5-Trifluorobenzene","Class1","150","1.085","3503743.50","29853.852","Class1","150","1.085","4779582.61","38666.035","Class1","145","1.06","16138402.8","92138.063","Class1","150","1.085","13103864.1","90312.359","Class1","150","1.09","10557682.5","87963.672","Class1","150","1.085","6352674.20","59113.641","Class1","145","1.09","1098276.28","12117.128",
"1,3-Dioxolane","Class1","155","1.23","5879476.63","15810.554","Class1","150","1.24","4697850.57","15073.519","Class1","145","1.22","115153689","66590.508","Class1","150","1.235","15733414.1","29838.438","Class1","155","1.235","3013585.08","10793.358","Class1","150","1.235","47644157.6","118972.469","Class1","150","1.235","30315224.1","51749.398",
"Benzene","Class1","175","1.255","12334256.1","24454.438","Class1","175","1.275","41733315.9","59285.023","Class1","180","1.275","18627948.9","8709.188","Class1","175","1.275","25162975.0","37878.836","Class1","175","1.27","12568864.8","30411.555","Class1","175","1.275","18519066.3","19963.012","Class1","175","1.275","22014350.2","26268.842",
"Hexane, 3-methyl-","Class1","175","1.05","4654077.30","3120.237","Class1","180","1.055","1990543.70","1256.819","Class1","170","1.03","34374039.2","11413.945","Class1","175","1.05","23391510.8","10799.086","Class1","180","1.035","3450690.70","3629.272","Class1","180","1.05","12124336.7","2994.984","Class1","175","1.055","8529823.27","3821.815",
"Cyclobutane, ethenyl-","Class1","185","1.185","8236413.10","10687.330","Class1","185","1.185","1308723.26","1952.039","Class1","185","1.185","6521234.49","6954.885","Class1","185","1.185","2216737.79","2821.333","Class1","185","1.18","1070225.67","2348.136","Class1","185","1.19","17195834.6","17380.039","Class1","185","1.19","3540675.96","4740.441",
"Butanenitrile","Class1","185","1.485","7973.357","17.278","Class1","190","1.475","14687.228","4.022","Class1","180","1.485","197902.839","278.577","Class1","185","1.49","27646.277","64.905","Class1","190","1.475","7424.161","24.422","Class1","185","1.485","37186.563","75.986","Class1","185","1.495","20243.864","48.050",
"1-Heptene","Class1","190","1.095","7612680.43","11006.500","Class1","190","1.095","7541079.40","12178.350","Class1","190","1.125","35419032.9","19883.168","Class1","190","1.095","18052264.5","21970.482","Class1","190","1.085","6872017.41","17908.721","Class1","190","1.095","13162943.0","12732.595","Class1","190","1.095","13479151.6","18554.299",
"2-Pentanone","Class1","195","1.335","23081499.9","14688.370","Class1","195","1.335","24487180.0","11159.154","Class1","190","1.34","155174573","17619.816","Class1","195","1.34","81417087.6","23078.695","Class1","195","1.33","43195837.3","21380.412","Class1","195","1.335","52200334.5","22782.729","Class1","195","1.335","27119957.5","152757.203",
