,"Baboon 6B:1",,,,,"Baboon 3B:1",,,,,"Baboon 10B:1",,,,,"Baboon 2B:1",,,,,"Baboon 4B:1",,,,,"Baboon 1B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"Isoflurane","Class1","120","2.015","1873307.35","649.618","Class1","120","1.955","107209079","5504.681","Class1","120","2.005","4981456.25","1845.955","Class1","120","2.01","1770897.04","781.117","Class1","120","2.045","893337.031","402.352","Class1","120","2.04","3445949.34","834.644",
"Isoflurane","Class1","130","0.88","14647183.4","110843.242","Class1","125","0.875","20862903.6","97574.703","Class1","135","0.88","16210635.9","122530.836","Class1","125","0.885","15360258.5","104719.422","Class1","130","0.875","15209114.0","117436.672","Class1","125","0.885","46503501.4","118942.984",
"Analyte 14","Class1","130","0.925","4329175.56","7911.624","Class1","130","0.91","1745385.48","3992.955","Class1","130","0.925","1942664.52","7048.702","Class1","125","1.035","2640457.06","5426.629","Class1","125","0.925","2729284.65","4352.945","Class1","130","0.925","5667599.72","3889.189",
"Methacrolein","Class1","135","1.145","4311584.16","8617.788","Class1","130","1.095","14663418.8","18031.945","Class1","135","1.15","9472437.01","20387.668","Class1","135","1.145","15782544.0","25083.344","Class1","135","1.15","16930105.8","22694.898","Class1","135","1.15","11346923.2","22893.525",
"Methane, nitro-","Class1","135","1.26","107838.251","401.689","Class1","130","1.2","6438539.10","18095.559","Class1","135","1.265","65875.528","318.555","Class1","135","1.26","115809.997","347.226","Class1","135","1.265","314474.672","1524.470","Class1","135","1.265","65814.091","331.527",
"Methyl vinyl ketone","Class1","140","1.18","8444793.96","6641.298","Class1","135","1.16","23538060.5","10757.438","Class1","140","1.185","15950594.3","14246.523","Class1","140","1.185","23168606.1","15557.357","Class1","140","1.185","24575849.5","13581.191","Class1","140","1.19","16035680.8","13209.377",
"Propanenitrile","Class1","140","1.245","913667.930","1525.615","Class1","135","1.22","2286518.11","2049.994","Class1","140","1.25","1299392.66","2512.051","Class1","140","1.245","2013452.36","3516.469","Class1","140","1.245","1570052.78","3257.049","Class1","140","1.25","3299194.63","6459.682",
"Acetic acid","Class1","140","1.225","2383177.17","8985.283","Class1","140","1.235","10504938.9","6783.937","Class1","140","1.205","4430860.60","10469.723","Class1","145","1.225","15690979.4","22996.379","Class1","140","1.215","14897515.4","19075.453","Class1","140","1.215","11725461.7","12922.539",
"2-Butanone","Class1","145","1.155","23671157.9","60600.379","Class1","140","1.14","35025959.1","39647.996","Class1","145","1.16","29490811.1","80695.320","Class1","145","1.15","41860905.6","71519.180","Class1","145","1.135","41641674.9","90721.617","Class1","145","1.16","32311734.9","33696.625",
"1,3,5-Trifluorobenzene","Class1","150","1.085","6249341.66","47521.465","Class1","145","1.06","5381513.63","34370.113","Class1","150","1.085","5977361.92","63417.504","Class1","150","1.085","6870830.65","58648.582","Class1","150","1.085","4304143.53","41630.453","Class1","150","1.09","3746577.15","41015.500",
"Analyte 39","Class1","150","1.13","3539956.86","3989.716","Class1","145","1.09","10103484.6","5137.814","Class1","150","1.135","10449427.2","6318.666","Class1","150","1.13","3385461.69","4545.130","Class1","150","1.13","4562321.26","7763.003","Class1","150","1.135","4913504.02","8249.086",
"1,3-Dioxolane","Class1","150","1.235","4401957.41","16209.902","Class1","150","1.215","93335486.4","90765.406","Class1","150","1.24","9864253.37","30132.154","Class1","150","1.235","60392840.5","177639.906","Class1","150","1.235","25696803.8","75238.328","Class1","150","1.24","9892084.65","24841.066",
"Amylene hydrate","Class1","165","1.155","33309957.4","58196.984","Class1","160","1.18","10914439.7","15139.599","Class1","165","1.17","63113452.2","89458.547","Class1","165","1.155","70147001.8","69848.625","Class1","160","1.16","76281804.5","74266.867","Class1","160","1.16","84601237.4","79967.273",
"Cyanic acid, butyl ester","Class1","175","1.055","149790.534","489.929","Class1","170","1.03","20497.230","117.109","Class1","175","1.055","161530.492","742.447","Class1","175","1.05","144943.718","587.856","Class1","175","1.045","83623.638","365.116","Class1","175","1.055","67096.343","457.471",
"Benzene","Class1","175","1.27","13684650.0","19649.691","Class1","175","1.27","39093395.4","19339.293","Class1","175","1.27","23009969.4","47013.160","Class1","175","1.28","43232788.3","29091.918","Class1","175","1.275","22402548.2","39916.305","Class1","175","1.27","17019142.6","30028.342",
"Butanenitrile","Class1","185","1.485","8210.398","18.216","Class1","180","1.49","131692.855","175.652","Class1","185","1.49","14940.732","38.096","Class1","185","1.49","19947.078","63.561","Class1","185","1.485","32046.340","75.493","Class1","185","1.485","44716.932","115.647",
"Pentane, 3-ethyl-2,2-dimethyl-","Class1","185","1.05","2918287.35","2864.223","Class1","185","1.02","62501957.6","29919.688","Class1","185","1.045","4149506.36","3815.136","Class1","190","1.235","4544748.11","3529.301","Class1","190","1.045","57936961.0","32683.225","Class1","185","1.05","18199881.1","8648.663",
"1-Heptene","Class1","190","1.09","2914024.68","4373.321","Class1","190","1.13","38903413.8","17992.127","Class1","190","1.095","10026681.5","9482.271","Class1","190","1.095","12378773.3","8032.271","Class1","190","1.095","5890897.68","11375.457","Class1","190","1.095","9409505.56","8329.206",
